Property,Range,numAllStatements,numRVEStatements
http://dbpedia.org/ontology/presenter,http://dbpedia.org/ontology/Person,14597.0,3970.0
http://dbpedia.org/ontology/firstLaunchRocket,http://dbpedia.org/ontology/Rocket,2.0,2.0
http://dbpedia.org/ontology/superFamily,http://dbpedia.org/ontology/Taxon,0.0,0.0
http://dbpedia.org/ontology/subdivisionName,http://dbpedia.org/ontology/Place,0.0,0.0
http://dbpedia.org/ontology/created,http://dbpedia.org/ontology/Work,0.0,0.0
http://dbpedia.org/ontology/president,http://dbpedia.org/ontology/Person,16042.0,2473.0
http://dbpedia.org/ontology/bandMember,http://dbpedia.org/ontology/Person,28617.0,12518.0
http://dbpedia.org/ontology/elementAbove,http://dbpedia.org/ontology/ChemicalSubstance,0.0,0.0
http://dbpedia.org/ontology/previousMission,http://dbpedia.org/ontology/SpaceMission,0.0,0.0
http://dbpedia.org/ontology/animator,http://dbpedia.org/ontology/Agent,4419.0,2028.0
http://dbpedia.org/ontology/hubAirport,http://dbpedia.org/ontology/Airport,3800.0,1070.0
http://dbpedia.org/ontology/showJudge,http://dbpedia.org/ontology/Person,2495.0,443.0
http://dbpedia.org/ontology/westPlace,http://dbpedia.org/ontology/Place,0.0,0.0
http://dbpedia.org/ontology/soccerLeagueRelegated,http://dbpedia.org/ontology/SportsTeam,0.0,0.0
http://dbpedia.org/ontology/largestSettlement,http://dbpedia.org/ontology/PopulatedPlace,80.0,14.0
http://dbpedia.org/ontology/reigningPope,http://dbpedia.org/ontology/Pope,0.0,0.0
http://dbpedia.org/ontology/jureLanguage,http://dbpedia.org/ontology/Language,0.0,0.0
http://dbpedia.org/ontology/trustee,http://dbpedia.org/ontology/Person,18.0,12.0
http://dbpedia.org/ontology/relative,http://dbpedia.org/ontology/Person,15834.0,2869.0
http://dbpedia.org/ontology/soccerLeaguePromoted,http://dbpedia.org/ontology/SportsTeam,0.0,0.0
http://dbpedia.org/ontology/languageRegulator,http://dbpedia.org/ontology/Language,233.0,231.0
http://dbpedia.org/ontology/flagBearer,http://dbpedia.org/ontology/Person,681.0,110.0
http://dbpedia.org/ontology/genre,http://dbpedia.org/ontology/Genre,576001.0,182834.0
http://dbpedia.org/ontology/familyMember,http://dbpedia.org/ontology/Person,0.0,0.0
http://dbpedia.org/ontology/cinematography,http://dbpedia.org/ontology/Person,45887.0,12299.0
http://dbpedia.org/ontology/riverBranchOf,http://dbpedia.org/ontology/River,39.0,34.0
http://dbpedia.org/ontology/superTribus,http://dbpedia.org/ontology/Species,0.0,0.0
http://dbpedia.org/ontology/highestState,http://dbpedia.org/ontology/PopulatedPlace,43.0,28.0
http://dbpedia.org/ontology/regionServed,http://dbpedia.org/ontology/Place,16506.0,3001.0
http://dbpedia.org/ontology/leaderFunction,http://dbpedia.org/ontology/PersonFunction,21598.0,0.0
http://dbpedia.org/ontology/raceHorse,http://dbpedia.org/ontology/RaceHorse,3964.0,930.0
http://dbpedia.org/ontology/relatedMeanOfTransportation,http://dbpedia.org/ontology/MeanOfTransportation,8905.0,1385.0
http://dbpedia.org/ontology/jockey,http://dbpedia.org/ontology/Jockey,82.0,32.0
http://dbpedia.org/ontology/leadTeam,http://dbpedia.org/ontology/SportsTeam,0.0,0.0
http://dbpedia.org/ontology/enshrinedDeity,http://dbpedia.org/ontology/Deity,0.0,0.0
http://dbpedia.org/ontology/aircraftHelicopterMultirole,http://dbpedia.org/ontology/MeanOfTransportation,33.0,18.0
http://dbpedia.org/ontology/nationalTournament,http://dbpedia.org/ontology/Tournament,0.0,0.0
http://dbpedia.org/ontology/whaDraftTeam,http://dbpedia.org/ontology/HockeyTeam,349.0,29.0
http://dbpedia.org/ontology/teamManager,http://dbpedia.org/ontology/SportsTeam,0.0,0.0
http://dbpedia.org/ontology/nextEvent,http://dbpedia.org/ontology/Event,4237.0,1047.0
http://dbpedia.org/ontology/derivative,http://dbpedia.org/ontology/MusicGenre,879.0,124.0
http://dbpedia.org/ontology/sourceRegion,http://dbpedia.org/ontology/PopulatedPlace,1252.0,399.0
http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/ontology/Band,131347.0,68792.0
http://dbpedia.org/ontology/debutTeam,http://dbpedia.org/ontology/SportsTeam,24693.0,5256.0
http://dbpedia.org/ontology/viceChancellor,http://dbpedia.org/ontology/Person,423.0,195.0
http://dbpedia.org/ontology/precursor,http://dbpedia.org/ontology/Embryology,222.0,65.0
http://dbpedia.org/ontology/capitalCountry,http://dbpedia.org/ontology/Country,2.0,2.0
http://dbpedia.org/ontology/otherSportsExperience,http://dbpedia.org/ontology/Athletics,0.0,0.0
http://dbpedia.org/ontology/drama,http://dbpedia.org/ontology/Drama,0.0,0.0
